id,user_id,img_name,emotion_categorical,valence,arousal,dominance,timestamp
1,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Contentment,3.0,1.0,2.0,2024-12-29 03:05:29
2,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Anger,0.0,0.0,0.0,2024-12-29 03:05:41
3,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Contentment,3.0,1.0,2.0,2024-12-29 03:14:16
4,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/bc8d0c4e-e8eb-4f21-b94e-1d486ccbfa1d.jpeg,Amusement,3.0,2.0,1.0,2024-12-29 03:15:40
5,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/01f633b5-1b88-4af1-92bc-e4eb2cdf0c2a.jpeg,Anger,-2.0,3.0,-1.0,2024-12-29 03:28:38
6,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/e70f8e2f-ac06-4230-a2e0-5c9e2b24fac7.jpeg,Fear,-3.0,4.0,3.0,2024-12-29 03:37:53
7,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/401d6d4c-c11c-417d-8e1f-860ba372ead7.jpeg,Excitement,3.0,2.0,1.0,2024-12-29 03:39:00
8,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/6f77bb69-26de-4f6a-91e9-5930a538e7a9.jpeg,Disgust,-2.0,2.0,1.0,2024-12-29 03:41:43
9,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/55880393-4a11-4b1c-8f81-987c8334356d.jpeg,Awe,3.0,2.0,2.0,2024-12-29 03:47:31
10,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/2ffba1a7-fe32-48f9-9c39-6f404c34d92c.jpeg,Fear,-2.0,3.0,-1.0,2024-12-29 03:47:39
11,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/4374412c-361f-4870-8ef3-b9870b287237.jpeg,Fear,-2.0,3.0,1.0,2024-12-29 03:49:05
12,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/2ba73e2e-f75a-4083-82e7-875898663f07.jpeg,Anger,-2.0,3.0,1.0,2024-12-29 03:49:09
13,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/e1c0c0ad-7be6-4ec1-8309-44addabd1c30.jpeg,Awe,2.0,3.0,1.0,2024-12-29 03:49:37
14,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/9f1a2879-d530-457b-a299-9e3d7de52636.jpeg,Sad,-2.0,-1.0,-1.0,2024-12-29 03:49:42
15,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/4aaffad4-3ca6-4219-a94d-f23f4a2b433c.jpeg,Fear,-3.0,3.0,-1.0,2024-12-29 03:49:49
16,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/2a0f25e4-677e-43de-aee6-86fa73821fa0.jpeg,Contentment,3.0,2.0,1.0,2024-12-29 03:52:42
17,1,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/b75e48a2-e485-4966-8c1a-a7e4dbef3c56.png,Sad,-2.0,1.0,-1.0,2024-12-29 03:52:45
18,2,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/f6865a31-2ef5-4fbc-907c-7737d651999e.jpeg,Contentment,3.0,1.0,2.0,2024-12-29 04:00:10
19,2,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/bc8d0c4e-e8eb-4f21-b94e-1d486ccbfa1d.jpeg,Amusement,3.0,2.0,1.0,2024-12-29 04:06:37
20,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/12453ac7-ac1c-4136-b7ef-03cbc6b97b58.jpg,Contentment,2.0,1.0,2.0,2024-12-29 07:03:28
21,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/009d2032-2c15-4a06-830c-57e6eece1fa8.jpg,Amusement,2.0,3.0,2.0,2024-12-29 07:03:48
22,18,/home/pci/dong/emodb/dong/AIGC-image/MJ/sample_images_200/34b3fe4b-e316-4569-ab32-24a93a75a0ce.jpg,Sad,-2.0,3.0,1.0,2024-12-29 07:04:06
